NAME,MEDIAN_INCOME,BACHELORS_PERCENT,POPULATION,UNEMPLOYMENT_RATE,ZIP_CODE
ZCTA5 57528,57227.0,95.0,1014.0,10.0,57528
ZCTA5 57529,49792.0,24.0,271.0,0.0,57529
ZCTA5 57531,53750.0,14.0,93.0,0.0,57531
ZCTA5 57532,85670.0,360.0,2937.0,3.0,57532
ZCTA5 57533,49338.0,140.0,1697.0,23.0,57533
ZCTA5 57534,41667.0,12.0,148.0,0.0,57534
ZCTA5 57536,72250.0,33.0,313.0,0.0,57536
ZCTA5 57537,69079.0,5.0,130.0,0.0,57537
ZCTA5 57538,44167.0,11.0,258.0,0.0,57538
ZCTA5 57540,-666666666.0,15.0,162.0,0.0,57540
ZCTA5 57541,87969.0,65.0,194.0,0.0,57541
ZCTA5 57543,23625.0,50.0,837.0,17.0,57543
ZCTA5 57544,71389.0,65.0,451.0,5.0,57544
ZCTA5 57547,100104.0,33.0,111.0,0.0,57547
ZCTA5 57548,32500.0,15.0,1651.0,55.0,57548
ZCTA5 57551,53438.0,269.0,2085.0,33.0,57551
ZCTA5 57552,54028.0,99.0,540.0,0.0,57552
ZCTA5 57553,137143.0,34.0,202.0,0.0,57553
ZCTA5 57555,36006.0,242.0,3516.0,123.0,57555
ZCTA5 57559,61750.0,110.0,752.0,8.0,57559
ZCTA5 57560,23250.0,22.0,497.0,71.0,57560
ZCTA5 57562,-666666666.0,21.0,120.0,0.0,57562
ZCTA5 57563,-666666666.0,0.0,62.0,0.0,57563
ZCTA5 57564,69211.0,109.0,797.0,0.0,57564
ZCTA5 57566,18214.0,0.0,990.0,63.0,57566
ZCTA5 57567,52059.0,63.0,1027.0,0.0,57567
ZCTA5 57568,78594.0,157.0,635.0,5.0,57568
ZCTA5 57569,55556.0,69.0,252.0,0.0,57569
ZCTA5 57570,40250.0,89.0,2572.0,197.0,57570
ZCTA5 57571,23333.0,3.0,31.0,0.0,57571
ZCTA5 57572,28750.0,59.0,1474.0,24.0,57572
ZCTA5 57574,2499.0,1.0,106.0,0.0,57574
ZCTA5 57576,57250.0,21.0,87.0,0.0,57576
ZCTA5 57577,24006.0,80.0,1175.0,49.0,57577
ZCTA5 57579,50505.0,88.0,1346.0,45.0,57579
ZCTA5 57580,60417.0,372.0,4168.0,126.0,57580
ZCTA5 57584,26000.0,2.0,80.0,0.0,57584
ZCTA5 57585,41538.0,5.0,110.0,0.0,57585
ZCTA5 57601,58448.0,528.0,3514.0,29.0,57601
ZCTA5 57620,70000.0,78.0,606.0,0.0,57620
ZCTA5 57621,26250.0,7.0,250.0,45.0,57621
ZCTA5 57622,-666666666.0,5.0,280.0,71.0,57622
ZCTA5 57623,55357.0,71.0,912.0,53.0,57623
ZCTA5 57625,48056.0,248.0,3906.0,432.0,57625
ZCTA5 57626,53500.0,97.0,802.0,25.0,57626
ZCTA5 57630,-666666666.0,8.0,31.0,0.0,57630
ZCTA5 57631,49300.0,48.0,348.0,30.0,57631
ZCTA5 57632,80568.0,98.0,730.0,15.0,57632
ZCTA5 57633,71250.0,31.0,402.0,10.0,57633
ZCTA5 57634,51042.0,6.0,157.0,0.0,57634
ZCTA5 57636,103333.0,13.0,77.0,0.0,57636
ZCTA5 57638,49861.0,196.0,1910.0,70.0,57638
ZCTA5 57639,18125.0,0.0,355.0,54.0,57639
ZCTA5 57640,-666666666.0,8.0,44.0,0.0,57640
ZCTA5 57641,66875.0,37.0,235.0,0.0,57641
ZCTA5 57642,56042.0,156.0,2009.0,194.0,57642
ZCTA5 57644,61250.0,31.0,259.0,0.0,57644
ZCTA5 57645,44688.0,22.0,142.0,0.0,57645
ZCTA5 57646,91563.0,68.0,267.0,0.0,57646
ZCTA5 57648,72188.0,61.0,419.0,7.0,57648
ZCTA5 57649,59531.0,29.0,255.0,0.0,57649
ZCTA5 57650,-666666666.0,3.0,13.0,0.0,57650
ZCTA5 57651,-666666666.0,9.0,73.0,0.0,57651
ZCTA5 57652,26750.0,5.0,409.0,58.0,57652
ZCTA5 57656,61607.0,73.0,842.0,19.0,57656
ZCTA5 57657,132500.0,20.0,218.0,18.0,57657
ZCTA5 57658,23125.0,29.0,410.0,72.0,57658
ZCTA5 57659,-666666666.0,2.0,12.0,0.0,57659
ZCTA5 57660,70313.0,16.0,95.0,0.0,57660
ZCTA5 57661,60893.0,0.0,183.0,27.0,57661
ZCTA5 57701,52255.0,5672.0,45046.0,985.0,57701
ZCTA5 57702,81537.0,7015.0,34985.0,578.0,57702
ZCTA5 57703,76363.0,1717.0,16951.0,230.0,57703
ZCTA5 57706,60802.0,226.0,2339.0,36.0,57706
ZCTA5 57714,-666666666.0,0.0,1168.0,60.0,57714
ZCTA5 57716,-666666666.0,67.0,362.0,5.0,57716
ZCTA5 57717,57153.0,768.0,8468.0,277.0,57717
ZCTA5 57718,79435.0,1130.0,7507.0,163.0,57718
ZCTA5 57719,72376.0,1530.0,11583.0,300.0,57719
ZCTA5 57720,72031.0,106.0,695.0,16.0,57720
ZCTA5 57722,55000.0,20.0,143.0,3.0,57722
ZCTA5 57724,56389.0,57.0,238.0,0.0,57724
ZCTA5 57725,44125.0,23.0,245.0,0.0,57725
ZCTA5 57730,76667.0,1031.0,5809.0,71.0,57730
ZCTA5 57732,47500.0,245.0,1944.0,15.0,57732
ZCTA5 57735,56591.0,131.0,1614.0,22.0,57735
ZCTA5 57737,-666666666.0,18.0,47.0,0.0,57737
ZCTA5 57738,46023.0,14.0,364.0,6.0,57738
ZCTA5 57741,-666666666.0,33.0,134.0,0.0,57741
ZCTA5 57744,84063.0,296.0,2243.0,27.0,57744
ZCTA5 57745,80000.0,335.0,1851.0,0.0,57745
ZCTA5 57747,59209.0,499.0,5590.0,52.0,57747
ZCTA5 57748,48250.0,22.0,295.0,11.0,57748
ZCTA5 57750,16875.0,5.0,197.0,0.0,57750
ZCTA5 57751,98393.0,129.0,947.0,19.0,57751
ZCTA5 57752,-666666666.0,95.0,2439.0,43.0,57752
ZCTA5 57754,54732.0,510.0,3542.0,35.0,57754
ZCTA5 57755,96250.0,12.0,130.0,0.0,57755
ZCTA5 57756,-666666666.0,0.0,681.0,5.0,57756
ZCTA5 57758,45139.0,0.0,60.0,0.0,57758
ZCTA5 57759,166111.0,7.0,338.0,0.0,57759
